"Survived","Pclass","Sex","Age","Embarked","Fare_unit","Alone"
"No Surv","3rd","male",34.5,"Queenstown",7.8292,"Alone"
"Surv","3rd","female",47,"Southampton",7,"In company"
"No Surv","2nd","male",62,"Queenstown",9.6875,"Alone"
"No Surv","3rd","male",27,"Southampton",8.6625,"Alone"
"Surv","3rd","female",22,"Southampton",6.14375,"In company"
"No Surv","3rd","male",14,"Southampton",9.225,"Alone"
"Surv","3rd","female",30,"Queenstown",7.6292,"Alone"
"No Surv","2nd","male",26,"Southampton",9.66666666666667,"In company"
"Surv","3rd","female",18,"Cherbourg",7.2292,"Alone"
"No Surv","3rd","male",21,"Southampton",8.05,"In company"
"No Surv","3rd","male",21,"Southampton",7.8958,"Alone"
"No Surv","1st","male",46,"Southampton",26,"Alone"
"Surv","1st","female",23,"Southampton",41.13335,"In company"
"No Surv","2nd","male",63,"Southampton",13,"In company"
"Surv","1st","female",47,"Southampton",30.5875,"In company"
"Surv","2nd","female",24,"Cherbourg",13.8604,"In company"
"No Surv","2nd","male",35,"Queenstown",12.35,"Alone"
"No Surv","3rd","male",21,"Cherbourg",7.225,"Alone"
"Surv","3rd","female",27,"Southampton",7.925,"In company"
"Surv","3rd","female",45,"Cherbourg",7.225,"Alone"
"No Surv","1st","male",55,"Cherbourg",29.7,"In company"
"No Surv","3rd","male",9,"Southampton",3.1708,"In company"
"Surv","1st","female",21,"Southampton",31.6833,"Alone"
"No Surv","1st","male",21,"Cherbourg",30.6896,"In company"
"Surv","1st","female",48,"Cherbourg",37.4821428571429,"In company"
"No Surv","3rd","male",50,"Southampton",7.25,"In company"
"Surv","1st","female",22,"Cherbourg",30.9896,"In company"
"No Surv","3rd","male",22.5,"Cherbourg",7.225,"Alone"
"No Surv","1st","male",41,"Southampton",30.5,"Alone"
"No Surv","3rd","male",26,"Cherbourg",7.2264,"In company"
"No Surv","2nd","male",50,"Southampton",13,"In company"
"No Surv","2nd","male",24,"Southampton",10.5,"In company"
"Surv","3rd","female",33,"Southampton",5.14375,"In company"
"Surv","3rd","female",26,"Southampton",5.8625,"In company"
"No Surv","1st","male",30,"Cherbourg",28.875,"In company"
"No Surv","3rd","male",18.5,"Cherbourg",7.2292,"Alone"
"Surv","3rd","female",23,"Southampton",8.05,"Alone"
"Surv","3rd","female",21,"Southampton",8.6625,"Alone"
"No Surv","3rd","male",25,"Southampton",9.5,"Alone"
"No Surv","3rd","male",28,"Southampton",7.061975,"Alone"
"No Surv","3rd","male",39,"Cherbourg",6.70835,"In company"
"No Surv","1st","male",42,"Southampton",26.55,"Alone"
"No Surv","3rd","male",41,"Southampton",7.85,"Alone"
"Surv","2nd","female",30,"Southampton",13,"Alone"
"Surv","1st","female",45,"Southampton",26.2771,"In company"
"No Surv","3rd","male",25,"Southampton",7.925,"Alone"
"No Surv","1st","male",45,"Cherbourg",29.7,"Alone"
"No Surv","3rd","male",65,"Queenstown",7.75,"Alone"
"Surv","1st","female",60,"Cherbourg",38.14585,"Alone"
"Surv","3rd","female",36,"Southampton",5.3,"In company"
"No Surv","1st","male",24,"Southampton",30,"In company"
"No Surv","2nd","male",27,"Cherbourg",15.0333,"Alone"
"Surv","2nd","female",20,"Southampton",11.5,"In company"
"Surv","1st","female",28,"Southampton",43.8333333333333,"In company"
"No Surv","2nd","male",27,"Cherbourg",15.5792,"Alone"
"No Surv","3rd","male",10,"Queenstown",4.85416666666667,"In company"
"No Surv","3rd","male",35,"Southampton",7.8958,"Alone"
"No Surv","3rd","male",25,"Southampton",7.65,"Alone"
"No Surv","3rd","male",30,"Southampton",8.05,"In company"
"Surv","1st","female",36,"Cherbourg",37.4821428571429,"Alone"
"No Surv","3rd","male",17,"Southampton",7.8958,"Alone"
"No Surv","2nd","male",32,"Southampton",13.5,"Alone"
"No Surv","3rd","male",18,"Southampton",7.75,"Alone"
"Surv","3rd","female",22,"Queenstown",7.725,"Alone"
"No Surv","1st","male",13,"Cherbourg",37.4821428571429,"In company"
"Surv","2nd","female",31,"Southampton",10.5,"Alone"
"Surv","3rd","female",18,"Queenstown",7.8792,"Alone"
"No Surv","1st","male",47,"Southampton",21.2,"Alone"
"No Surv","1st","male",31,"Cherbourg",28.5375,"Alone"
"Surv","1st","female",60,"Southampton",43.8333333333333,"In company"
"Surv","3rd","female",24,"Queenstown",7.75,"Alone"
"No Surv","3rd","male",21,"Southampton",7.8958,"Alone"
"Surv","3rd","female",29,"Southampton",7.925,"Alone"
"No Surv","1st","male",28.5,"Cherbourg",27.7208,"Alone"
"Surv","1st","female",35,"Cherbourg",42.3,"Alone"
"No Surv","1st","male",32.5,"Cherbourg",42.3,"Alone"
"No Surv","3rd","male",32,"Southampton",8.05,"Alone"
"Surv","1st","female",55,"Southampton",25.7,"In company"
"No Surv","2nd","male",30,"Southampton",13,"Alone"
"Surv","3rd","female",24,"Queenstown",7.75,"Alone"
"No Surv","3rd","male",6,"Cherbourg",5.08193333333333,"In company"
"No Surv","1st","male",67,"Southampton",55.4448,"In company"
"No Surv","1st","male",49,"Southampton",26,"Alone"
"No Surv","3rd","male",21,"Southampton",7.8958,"Alone"
"No Surv","2nd","male",61,"Queenstown",10.7083,"Alone"
"No Surv","3rd","male",26,"Cherbourg",7.2271,"In company"
"Surv","3rd","female",27,"Queenstown",7.8792,"Alone"
"Surv","3rd","female",18,"Southampton",8.05,"Alone"
"Surv","3rd","female",24,"Queenstown",7.75,"Alone"
"No Surv","2nd","male",2,"Southampton",7.66666666666667,"In company"
"Surv","3rd","female",22,"Southampton",6.95,"In company"
"No Surv","3rd","male",26,"Southampton",7.775,"Alone"
"Surv","1st","female",27,"Southampton",26,"In company"
"No Surv","3rd","male",32,"Southampton",8.05,"Alone"
"No Surv","1st","male",25,"Cherbourg",26,"Alone"
"No Surv","3rd","male",25,"Southampton",7.7958,"Alone"
"Surv","1st","female",76,"Southampton",26.2833333333333,"In company"
"No Surv","3rd","male",29,"Southampton",7.925,"Alone"
"Surv","3rd","female",20,"Southampton",7.8542,"Alone"
"No Surv","3rd","male",33,"Southampton",8.05,"Alone"
"Surv","1st","female",43,"Cherbourg",27.72085,"In company"
"No Surv","2nd","male",27,"Southampton",13,"In company"
"No Surv","3rd","male",65,"Queenstown",7.75,"Alone"
"No Surv","3rd","male",26,"Southampton",7.775,"Alone"
"Surv","3rd","female",16,"Cherbourg",4.25835,"In company"
"No Surv","3rd","male",28,"Southampton",7.50833333333333,"Alone"
"No Surv","3rd","male",21,"Queenstown",7.8208,"Alone"
"No Surv","3rd","male",65,"Queenstown",7.75,"Alone"
"No Surv","3rd","male",24,"Southampton",8.7125,"Alone"
"No Surv","2nd","male",18.5,"Southampton",13,"Alone"
"No Surv","2nd","male",41,"Cherbourg",15.0458,"Alone"
"Surv","3rd","female",24,"Queenstown",7.7792,"Alone"
"Surv","1st","female",36,"Cherbourg",31.6792,"Alone"
"Surv","3rd","female",18.5,"Queenstown",7.2833,"Alone"
"Surv","1st","female",63,"Southampton",55.4448,"In company"
"No Surv","3rd","male",18,"Cherbourg",7.2271,"In company"
"No Surv","3rd","male",22.5,"Cherbourg",6.4375,"Alone"
"Surv","3rd","female",1,"Southampton",5.56666666666667,"In company"
"No Surv","1st","male",36,"Cherbourg",37.62085,"Alone"
"Surv","2nd","female",29,"Southampton",13,"In company"
"Surv","2nd","female",12,"Southampton",7.875,"Alone"
"No Surv","3rd","male",65,"Queenstown",7.75,"In company"
"Surv","1st","female",35,"Cherbourg",28.875,"In company"
"No Surv","3rd","male",28,"Southampton",7.25,"Alone"
"No Surv","3rd","male",65,"Queenstown",7.75,"Alone"
"Surv","3rd","female",17,"Southampton",8.05,"In company"
"No Surv","3rd","male",22,"Southampton",7.7958,"Alone"
"Surv","3rd","female",18,"Queenstown",7.75,"In company"
"No Surv","2nd","male",42,"Southampton",13,"Alone"
"No Surv","3rd","male",24,"Southampton",8.05,"Alone"
"No Surv","3rd","male",32,"Southampton",8.05,"Alone"
"No Surv","1st","male",53,"Cherbourg",28.5,"Alone"
"Surv","3rd","female",24,"Southampton",5.09334,"In company"
"No Surv","3rd","male",26,"Cherbourg",6.4375,"In company"
"No Surv","3rd","male",43,"Southampton",7.8958,"Alone"
"No Surv","3rd","male",24,"Southampton",7.8542,"Alone"
"No Surv","3rd","male",26.5,"Cherbourg",7.225,"Alone"
"No Surv","2nd","male",26,"Southampton",13,"Alone"
"Surv","3rd","female",23,"Southampton",8.05,"Alone"
"No Surv","3rd","male",40,"Southampton",5.8625,"In company"
"Surv","3rd","female",10,"Southampton",5.8625,"In company"
"Surv","1st","female",33,"Southampton",25.2583333333333,"Alone"
"No Surv","1st","male",61,"Cherbourg",37.4821428571429,"In company"
"No Surv","2nd","male",28,"Southampton",13,"Alone"
"No Surv","1st","male",42,"Southampton",26.55,"Alone"
"No Surv","3rd","male",31,"Southampton",9,"In company"
"No Surv","1st","male",47,"Southampton",25.93125,"Alone"
"No Surv","3rd","male",22,"Southampton",8.05,"Alone"
